MAC,ICCID,IMEI,IMSI,ICCID,IMEI,IMSI
88:12:4E:60:30:30	,89860620180045654838	,865396052547003	,460065318189214	,898604A8102140156055	,865396052554918	,460082859306055	
88:12:4E:60:30:70	,89860620180045655041	,864337059736091	,460065318189235	,0,0,0
88:12:4E:60:30:E0	,89860620180045655306	,864337059878455	,460065318189261	,0,0,0
88:12:4E:60:31:20	,89860620180045655637	,865396052615669	,460065318189294	,898604A8102140155975	,865396052606510	,460082859305975	
88:12:4E:60:31:60	,89860620180045653343	,865396052625296	,460065318189065	,898604A8102140156204	,865396052601396	,460082859306204	
88:12:4E:60:31:F0	,89860620180045653814	,865396052609860	,460065318189112	,0,0,0
88:12:4E:60:32:E0	,89860620180045653681	,864337059755323	,460065318189099	,898604A8102140156170	,864337059755299	,460082859306170	
88:12:4E:60:32:F0	,89860620180045653731	,864337059755786	,460065318189104	,0,0,0
88:12:4E:60:33:30	,89860620180045654416	,864337059755828	,460065318189172	,898604A8102140156097	,864337059896465	,460082859306097	
88:12:4E:60:33:80	,89860620180045654119	,865396052595960	,460065318189142	,0,0,0
88:12:4E:60:2A:A0	,89860620180045652741	,865396052624554	,460065318189005	,898604A8102140156264	,865396052624612	,460082859306264	
88:12:4E:60:2A:A0	,89860620180045652741	,865396052624554	,460065318189005	,898604A8102140156264	,865396052624612	,460082859306264	
88:12:4E:60:2A:D0	,89860620180045653830	,865396052625064	,460065318189114	,898604A8102140156155	,865396052599046	,460082859306155	
88:12:4E:60:2A:F0	,89860620180045654739	,864337059755844	,460065318189204	,898604A8102140156065	,864337059896135	,460082859306065	
88:12:4E:60:2A:F0	,89860620180045654739	,864337059755844	,460065318189204	,898604A8102140156065	,864337059896135	,460082859306065	
88:12:4E:60:2C:00	,89860620180045655215	,864337059875576	,460065318189252	,898604A8102140156017	,864337059878430	,460082859306017	
88:12:4E:60:2C:70	,89860620180045652931	,865396052624752	,460065318189024	,898604A8102140156245	,865396052621014	,460082859306245	
88:12:4E:60:2D:30	,89860620180045653707	,864337059895764	,460065318189101	,898604A8102140156168	,864337059756065	,460082859306168	
88:12:4E:60:2D:70	,89860620180045654374	,864337059896481	,460065318189168	,898604A8102140156101	,864337059878570	,460082859306101	
88:12:4E:60:2D:80	,89860620180045655165	,864337059895665	,460065318189247	,898604A8102140156022	,865396052624950	,460082859306022	
88:12:4E:60:2D:A0	,89860620180045654929	,865396052609928	,460065318189223	,898604A8102140156046	,865396052553506	,460082859306046	
88:12:4E:60:2E:00	,89860620180045653350	,865396052601412	,460065318189066	,898604A8102140156203	,865396052601206	,460082859306203	
88:12:4E:60:2E:90	,89860620180045653335	,865396052599285	,460065318189064	,898604A8102140156205	,865396052568967	,460082859306205	
88:12:4E:60:2E:B0	,89860620180045654093	,865396052625015	,460065318189140	,898604A8102140156129	,865396052621162	,460082859306129	
88:12:4E:60:2F:20	,89860620180045654390	,864337059878414	,460065318189170	,898604A8102140156099	,864337059895681	,460082859306099	
88:12:4E:60:2F:60	,89860620180045655553	,864337059756156	,460065318189286	,898604A8102140155983	,864337059755257	,460082859305983	
88:12:4E:60:2F:90	,89860620180045655629	,865396052604135	,460065318189293	,898604A8102140155976	,864337059735689	,460082859305976	
88:12:4E:60:2F:A0	,89860620180045654424	,864337059755398	,460065318189173	,898604A8102140156096	,864337059896119	,460082859306096	
88:12:4E:60:2F:A0	,89860620180045654424	,864337059755398	,460065318189173	,898604A8102140156096	,864337059896119	,460082859306096	
88:12:4E:60:30:30	,89860620180045654838	,865396052547003	,460065318189214	,898604A8102140156055	,865396052554918	,460082859306055	
88:12:4E:60:30:70	,89860620180045655041	,864337059736091	,460065318189235	,0,0,0
88:12:4E:60:30:E0	,89860620180045655306	,864337059878455	,460065318189261	,0,0,0
88:12:4E:60:31:20	,89860620180045655637	,865396052615669	,460065318189294	,898604A8102140155975	,865396052606510	,460082859305975	
88:12:4E:60:31:60	,89860620180045653343	,865396052625296	,460065318189065	,898604A8102140156204	,865396052601396	,460082859306204	
88:12:4E:60:31:F0	,89860620180045653814	,865396052609860	,460065318189112	,0,0,0
88:12:4E:60:32:40	,89860620180045655504	,864337059755794	,460065318189281	,0,0,0
88:12:4E:60:32:E0	,89860620180045653681	,864337059755323	,460065318189099	,898604A8102140156170	,864337059755299	,460082859306170	
88:12:4E:60:32:F0	,89860620180045653731	,864337059755786	,460065318189104	,0,0,0
88:12:4E:60:33:30	,89860620180045654416	,864337059755828	,460065318189172	,898604A8102140156097	,864337059896465	,460082859306097	
88:12:4E:60:33:80	,89860620180045654119	,865396052595960	,460065318189142	,0,0,0
